Feature Name,Feature Rank,Was Selected,Feature Importance
HPA007667_SBA3_rep1,460,False,
HPA063247_SBA1_rep1,461,False,
HPA002925_SBA3_rep1,462,False,
HPA063202_SBA1_rep1,463,False,
HPA041551_SBA1_rep1,464,False,
HPA036298_SBA3_rep1,465,False,
HPA008130_SBA3_rep1,466,False,
HPA067889_SBA1_rep1,467,False,
HPA001844_SBA3_rep1,468,False,
HPA077243_SBA1_rep1,469,False,
HPA043766_SBA1_rep1,470,False,
HPA012692_SBA3_rep1,471,False,
HPA010739_SBA3_rep1,472,False,
HPA050811_SBA1_rep1,473,False,
HPA004732_SBA3_rep1,474,False,
HPA029207_SBA1_rep1,475,False,
HPA012113_SBA3_rep1,476,False,
HPA031162_SBA1_rep1,477,False,
HPA012016_SBA3_rep1,478,False,
HPA052799_SBA1_rep1,479,False,
HPA014246_SBA3_rep1,480,False,
HPA015601_SBA1_rep1,481,False,
HPA016754_SBA3_rep1,482,False,
HPA003223_SBA3_rep1,483,False,
HPA058058_SBA3_rep1,484,False,
HPA068364_SBA4_rep1,485,False,
HPA030631_SBA3_rep1,486,False,
HPA030443_SBA1_rep1,487,False,
HPA060740_SBA1_rep1,488,False,
HPA017172_SBA1_rep1,489,False,
HPA046710_SBA1_rep1,490,False,
HPA024554_SBA1_rep1,491,False,
HPA022853_SBA2_rep1,492,False,
HPA054562_SBA3_rep1,493,False,
HPA071472_SBA3_rep1,494,False,
HPA072674_SBA1_rep1,495,False,
HPA018493_SBA2_rep1,496,False,
HPA068496_SBA4_rep1,497,False,
HPA069976_SBA3_rep1,498,False,
HPA001765_SBA3_rep1,499,False,
HPA054909_SBA3_rep1,500,False,
HPA036082_SBA1_rep1,501,False,
HPA057757_SBA3_rep1,502,False,
HPA038484_SBA1_rep1,503,False,
HPA001308_SBA3_rep1,504,False,
HPA040066_SBA1_rep1,505,False,
HPA043475_SBA4_rep1,506,False,
HPA075782_SBA1_rep1,507,False,
HPA014479_SBA3_rep1,508,False,
HPA042455_SBA1_rep1,509,False,
HPA040147_SBA3_rep1,510,False,
HPA064734_SBA4_rep1,511,False,
HPA045218_SBA1_rep1,512,False,
HPA001508_SBA3_rep1,513,False,
HPA046739_SBA1_rep1,514,False,
HPA049855_SBA3_rep1,515,False,
HPA043780_SBA3_rep1,516,False,
HPA078841_SBA3_rep1,517,False,
HPA051369_SBA1_rep1,518,False,
Empty_SBA3_rep1,519,False,
HPA029752_SBA1_rep1,520,False,
HPA018990_SBA3_rep1,521,False,
HPA055938_SBA1_rep1,522,False,
HPA013566_SBA3_rep1,523,False,
HPA036287_SBA1_rep1,524,False,
HPA039365_SBA3_rep1,525,False,
HPA060756_SBA1_rep1,526,False,
HPA047979_SBA3_rep1,527,False,
HPA011138_SBA1_rep1,528,False,
HPA064163_SBA3_rep1,529,False,
HPA073447_SBA3_rep1,530,False,
HPA051805_SBA3_rep1,531,False,
HPA041755_SBA1_rep1,532,False,
HPA012949_SBA3_rep1,533,False,
HPA044750_SBA1_rep1,534,False,
HPA035939_SBA3_rep1,535,False,
HPA064293_SBA1_rep1,536,False,
HPA046370_SBA3_rep1,537,False,
HPA046846_SBA1_rep1,538,False,
HPA062736_SBA3_rep1,539,False,
HPA017864_SBA1_rep1,540,False,
HPA072450_SBA3_rep1,541,False,
HPA008315_SBA1_rep1,542,False,
HPA042441_SBA3_rep1,543,False,
HPA035675_SBA1_rep1,544,False,
HPA049838_SBA3_rep1,545,False,
HPA037646_SBA1_rep1,546,False,
HPA002815_SBA3_rep1,547,False,
HPA044572_SBA3_rep1,548,False,
HPA021939_SBA1_rep1,549,False,
HPA006666_SBA4_rep1,550,False,
HPA042953_SBA1_rep1,551,False,
HPA008880_SBA4_rep1,552,False,
HPA023542_SBA1_rep1,553,False,
HPA015109_SBA4_rep1,554,False,
HPA023739_SBA1_rep1,555,False,
HPA003157_SBA4_rep1,556,False,
HPA046930_SBA1_rep1,557,False,
HPA001888_SBA4_rep1,558,False,
HPA036074_SBA1_rep1,559,False,
HPA035615_SBA1_rep1,560,False,
HPA021760_SBA1_rep1,561,False,
HPA034544_SBA1_rep1,562,False,
HPA026481_SBA1_rep1,563,False,
HPA005554_SBA3_rep1,564,False,
HPA027806_SBA1_rep1,565,False,
HPA054359_SBA3_rep1,566,False,
HPA027873_SBA1_rep1,567,False,
HPA050678_SBA3_rep1,568,False,
HPA024190_SBA1_rep1,569,False,
HPA007637_SBA4_rep1,570,False,
HPA036405_SBA1_rep1,571,False,
HPA013159_SBA4_rep1,572,False,
HPA035802_SBA1_rep1,573,False,
HPA026918_SBA1_rep1,574,False,
HPA040809_SBA1_rep1,575,False,
HPA029957_SBA4_rep1,576,False,
HPA076029_SBA1_rep1,577,False,
HPA067450_SBA4_rep1,578,False,
HPA028420_SBA1_rep1,579,False,
HPA031069_SBA1_rep1,580,False,
HPA030401_SBA1_rep1,581,False,
HPA032047_SBA2_rep1,582,False,
HPA027806_SBA2_rep1,583,False,
HPA029237_SBA4_rep1,584,False,
HPA036336_SBA4_rep1,585,False,
HPA020433_SBA2_rep1,586,False,
HPA041061_SBA4_rep1,587,False,
HPA027301_SBA2_rep1,588,False,
HPA051979_SBA4_rep1,589,False,
HPA012542_SBA2_rep1,590,False,
HPA003049_SBA4_rep1,591,False,
HPA073028_SBA3_rep1,592,False,
HPA003925_SBA4_rep1,593,False,
HPA037429_SBA1_rep1,594,False,
HPA004252_SBA4_rep1,595,False,
HPA039464_SBA1_rep1,596,False,
HPA035434_SBA4_rep1,597,False,
HPA041082_SBA1_rep1,598,False,
HPA035715_SBA4_rep1,599,False,
HPA054825_SBA4_rep1,600,False,
HPA067809_SBA3_rep1,601,False,
HPA072225_SBA3_rep1,602,False,
HPA041598_SBA1_rep1,603,False,
HPA008853_SBA1_rep1,604,False,
HPA029718_SBA1_rep1,605,False,
HPA029853_SBA1_rep1,606,False,
HPA043598_SBA3_rep1,607,False,
HPA031060_SBA1_rep1,608,False,
HPA045794_SBA3_rep1,609,False,
HPA044107_SBA3_rep1,610,False,
HPA032022_SBA1_rep1,611,False,
HPA056385_SBA3_rep1,612,False,
HPA035301_SBA1_rep1,613,False,
HPA068464_SBA4_rep1,614,False,
HPA036325_SBA1_rep1,615,False,
HPA071026_SBA4_rep1,616,False,
HPA037539_SBA1_rep1,617,False,
HPA072575_SBA4_rep1,618,False,
HPA038283_SBA1_rep1,619,False,
HPA064300_SBA4_rep1,620,False,
HPA039480_SBA1_rep1,621,False,
HPA038059_SBA1_rep1,622,False,
HPA001474_SBA1_rep1,623,False,
HPA038315_SBA2_rep1,624,False,
HPA017899_SBA4_rep1,625,False,
HPA001804_SBA2_rep1,626,False,
HPA026307_SBA2_rep1,627,False,
HPA029145_SBA4_rep1,628,False,
HPA035832_SBA4_rep1,629,False,
HPA051132_SBA3_rep1,630,False,
HPA051290_SBA3_rep1,631,False,
HPA060532_SBA3_rep1,632,False,
HPA065978_SBA1_rep1,633,False,
HPA066857_SBA3_rep1,634,False,
HPA067873_SBA3_rep1,635,False,
HPA036287_SBA3_rep1,636,False,
HPA018479_SBA1_rep1,637,False,
HPA069094_SBA3_rep1,638,False,
HPA055778_SBA3_rep1,639,False,
HPA001909_SBA1_rep1,640,False,
HPA072754_SBA1_rep1,641,False,
HPA050917_SBA3_rep1,642,False,
HPA057776_SBA3_rep1,643,False,
HPA002891_SBA1_rep1,644,False,
HPA006313_SBA1_rep1,645,False,
HPA067971_SBA3_rep1,646,False,
HPA078003_SBA1_rep1,647,False,
HPA019885_SBA1_rep1,648,False,
HPA006293_SBA4_rep1,649,False,
HPA042991_SBA3_rep1,650,False,
HPA017430_SBA2_rep1,651,False,
HPA047151_SBA3_rep1,652,False,
HPA019467_SBA2_rep1,653,False,
HPA023238_SBA2_rep1,654,False,
HPA003901_SBA1_rep1,655,False,
HPA057179_SBA1_rep1,656,False,
HPA054719_SBA3_rep1,657,False,
HPA000635_SBA1_rep1,658,False,
HPA036287_SBA2_rep1,659,False,
HPA042555_SBA4_rep1,660,False,
HPA024704_SBA2_rep1,661,False,
HPA079325_SBA4_rep1,662,False,
HPA018885_SBA2_rep1,663,False,
HPA004247_SBA3_rep1,664,False,
HPA045339_SBA3_rep1,665,False,
HPA067869_SBA1_rep1,666,False,
HPA043060_SBA3_rep1,667,False,
HPA069570_SBA1_rep1,668,False,
HPA031404_SBA3_rep1,669,False,
HPA071203_SBA1_rep1,670,False,
HPA037738_SBA3_rep1,671,False,
HPA073031_SBA1_rep1,672,False,
HPA041778_SBA3_rep1,673,False,
HPA003404_SBA4_rep1,674,False,
HPA023342_SBA1_rep1,675,False,
HPA004120_SBA4_rep1,676,False,
HPA021368_SBA2_rep1,677,False,
HPA014155_SBA4_rep1,678,False,
HPA022012_SBA2_rep1,679,False,
HPA030521_SBA4_rep1,680,False,
HPA001373_SBA4_rep1,681,False,
HPA053761_SBA3_rep1,682,False,
HPA044758_SBA3_rep1,683,False,
HPA031962_SBA3_rep1,684,False,
HPA021513_SBA3_rep1,685,False,
HPA036305_SBA1_rep1,686,False,
HPA063353_SBA4_rep1,687,False,
HPA034743_SBA1_rep1,688,False,
HPA065537_SBA4_rep1,689,False,
HPA024032_SBA1_rep1,690,False,
HPA070609_SBA4_rep1,691,False,
HPA041370_SBA1_rep1,692,False,
