Feature_Name,Num_Missing,Percentage_Missing,Median,Mean,Variance,Min,Max
HPA050459_SBA1_rep1,2,0.008333333333333333,12.2584409166736,12.25880217272937,0.003571916743995664,12.0440272309581,12.4699232621562
HPA069320_SBA1_rep1,2,0.008333333333333333,12.3581156909684,12.358238032857555,0.0017926497683002285,12.2440226666062,12.477557801364
HPA063011_SBA1_rep1,1,0.004166666666666667,12.3399974912298,12.340498081726821,0.0033327101279673668,11.747013748832,12.5941934874741
HPA072453_SBA1_rep1,3,0.0125,12.3332370086517,12.358596957149983,0.009769284766982227,12.0151182885017,12.6712195480282
HPA077546_SBA1_rep1,3,0.0125,12.573568330356,12.58669307743535,0.022252401724116286,12.2669367000428,13.1854026813021
HPA070467_SBA1_rep1,4,0.016666666666666666,12.3375191787498,12.346787797737528,0.0036803275324235607,12.2224367094971,12.6320870478333
HPA034492_SBA1_rep1,1,0.004166666666666667,12.2584805315988,12.236278115189958,0.027483861411664683,10.7311944631412,12.3748785036673
HPA027045_SBA1_rep1,1,0.004166666666666667,12.2822622432363,12.282682354538625,0.00229395792096754,12.1614077751672,12.5074602403423
HPA044810_SBA1_rep1,2,0.008333333333333333,12.2449657190236,12.239518677787292,0.0031751154518186164,12.0765462625162,12.3987203452626
HPA069328_SBA1_rep1,1,0.004166666666666667,12.3642666292859,12.36826337823174,0.005324582357058311,11.7522947233449,12.679206720161
HPA030877_SBA1_rep1,2,0.008333333333333333,12.39871892629355,12.413433236119824,0.007896506664943435,12.2720528941404,12.8400140068997
HPA038751_SBA1_rep1,1,0.004166666666666667,12.2527556823962,12.25892735240553,0.003665786807743831,12.1350780531787,12.6320870478333
HPA041390_SBA1_rep1,47,0.19583333333333333,12.4755415355537,12.487856222511084,0.01071077600715411,12.2427700746085,12.8859849359773
HPA018534_SBA1_rep1,2,0.008333333333333333,12.2320879367087,12.233280978305954,0.0033416513412675157,11.8692758489131,12.4577982979305
HPA063324_SBA1_rep1,1,0.004166666666666667,12.2377731927493,12.230248736673436,0.004101490355141002,12.0457845965727,12.5598742057147
HPA022271_SBA1_rep1,2,0.008333333333333333,12.376298181274,12.379388532598213,0.0032702475560779545,12.2641588252008,12.8617049557532
HPA067758_SBA1_rep1,2,0.008333333333333333,12.3436031546834,12.33940419164358,0.003830182052855841,11.747013748832,12.5768888126643
HPA035143_SBA1_rep1,1,0.004166666666666667,12.2428262770514,12.24612768309787,0.0026682808167175966,12.0994650361717,12.4111804742633
HPA010088_SBA1_rep1,6,0.025,12.33672051234125,12.339189275816313,0.004745797852361386,11.9891207873641,12.71956410922
HPA028487_SBA2_rep1,0,0.0,11.557248035952298,11.556845152416738,0.002940642504276548,11.361063330389,11.7824538605031
HPA011220_SBA2_rep1,0,0.0,11.7844949348573,11.777846863572695,0.001631825637901005,11.5825350661508,11.9227462776526
HPA003282_SBA2_rep1,0,0.0,11.96250416299715,11.97088693150553,0.012467438345333197,11.6607598439741,12.412178586037
HPA006964_SBA2_rep1,0,0.0,11.7278578674086,11.70904828798382,0.008503669399502454,10.8342924456956,11.8572474106976
HPA028897_SBA2_rep1,8,0.03333333333333333,11.705619928895949,11.70695051678986,0.010388934170704278,11.4128905517094,12.0295145368366
HPA056371_SBA2_rep1,0,0.0,11.624975317100901,11.612790630749528,0.006449446023779072,11.2829776857705,11.8949075378999
HPA063275_SBA2_rep1,0,0.0,11.8625200610261,11.864860869356816,0.0024206999804064692,11.7311182534591,12.0184378532851
HPA071406_SBA2_rep1,0,0.0,10.93021578864155,10.949635623309648,0.048175733484509355,10.3936253436379,11.5288359818072
HPA046579_SBA2_rep1,0,0.0,11.80045402866975,11.788370968749378,0.0074700624930982016,11.4598310981371,12.2524284875187
HPA023886_SBA2_rep1,0,0.0,11.695589539609749,11.715834278636056,0.020195967816454153,11.4339884158698,12.4906481373124
HPA019095_SBA2_rep1,0,0.0,11.7954435668939,11.814566241379532,0.011454017806308723,11.5158239114219,12.1779899896585
HPA005654_SBA2_rep1,0,0.0,11.55650359336845,11.53124796298464,0.017642782427630503,10.6891497739882,11.7229741142521
HPA064686_SBA2_rep1,0,0.0,11.672051381323051,11.67402936339289,0.0040513078204691055,11.4513334012285,11.9326840905616
HPA044840_SBA2_rep1,1,0.004166666666666667,11.7999882432029,11.807242646900983,0.0035560039712410315,11.634985220659,12.0131813275056
HPA015774_SBA3_rep1,138,0.575,12.41982615424895,12.423898749593262,0.009088898098525283,12.0842487324687,12.6567260854135
HPA004178_SBA3_rep1,35,0.14583333333333334,12.4916305573062,12.487002557385123,0.006988622437480523,12.1774179296005,12.7156859924469
HPA052258_SBA3_rep1,37,0.15416666666666667,12.3773036134699,12.382431124103087,0.0056733818384522424,12.1598432813445,12.5714540963377
HPA042940_SBA3_rep1,31,0.12916666666666668,12.7926386737054,12.807284470473146,0.010124757897628883,12.5788023237338,13.3787211021779
HPA009680_SBA3_rep1,62,0.25833333333333336,14.27793697207235,14.215684674753886,0.2913448287650123,12.5483371898017,15.4142363031804
HPA051409_SBA3_rep1,25,0.10416666666666667,12.5984426959131,12.61648360863322,0.007547062276662107,12.4453133774085,13.0909632826138
HPA054622_SBA3_rep1,15,0.0625,12.632486956717,12.637173744369822,0.004263737900992614,12.4317592572066,12.8180226495753
HPA055478_SBA3_rep1,38,0.15833333333333333,12.650628287016051,12.653094131990994,0.003832970022704433,12.4718274168214,12.8361930934814
HPA047171_SBA3_rep1,56,0.23333333333333334,12.52566647039415,12.524271168733648,0.008863410096280144,12.1680181661017,12.8210823531621
HPA047720_SBA3_rep1,64,0.26666666666666666,12.596424206598499,12.592808921349125,0.006884977237318416,12.3217178358818,12.8506954396268
HPA046635_SBA3_rep1,49,0.20416666666666666,12.5142525054442,12.512635957598592,0.005423474221167906,12.3159397252714,12.6776804797291
HPA042581_SBA3_rep1,31,0.12916666666666668,12.8820008638069,12.89087419334913,0.005709999814568206,12.6624828075569,13.174254232349
HPA070952_SBA3_rep1,35,0.14583333333333334,12.9136840933508,12.9192323053502,0.00468549298005974,12.6751006834219,13.15093907889
HPA047248_SBA3_rep1,36,0.15,12.5969480242909,12.608985657378064,0.009129259018185632,12.0652544724594,12.8776509131885
HPA053470_SBA3_rep1,17,0.07083333333333333,12.27794191096,12.269136575872603,0.01846446189554606,11.9611123773648,12.7846163135788
HPA002643_SBA3_rep1,23,0.09583333333333334,12.5376778846294,12.550189078357933,0.02354097956154335,12.1654602527292,13.0372465628385
HPA043015_SBA3_rep1,49,0.20416666666666666,12.7175812685824,12.74362191976168,0.022715441144413224,12.4378761807348,13.2181682744786
HPA051370_SBA3_rep1,31,0.12916666666666668,12.8348529246578,12.827897250578014,0.0348339271863842,12.4611869903931,13.3934293762769
HPA007982_SBA4_rep1,161,0.6708333333333333,12.42579395,12.435353855443038,0.0054075143891210925,12.26613042,12.61076669
HPA012930_SBA4_rep1,3,0.0125,12.41525763,12.415642191139241,0.00494599178118087,12.22356982,12.68835136
HPA019511_SBA4_rep1,22,0.09166666666666666,9.723440777499999,9.724980166013761,0.1348254121596761,8.810800393,10.62096358
HPA024575_SBA4_rep1,103,0.42916666666666664,12.84221839,12.862292481751826,0.01923808883502481,12.59228636,13.35279454
HPA035029_SBA4_rep1,140,0.5833333333333334,12.489208445,12.491516527100002,0.0080715834010179,12.26871862,12.86699901
HPA006983_SBA4_rep1,15,0.0625,12.52086125,12.532086151244444,0.019272581727022484,12.20341912,12.96939509
HPA008992_SBA4_rep1,4,0.016666666666666666,12.366011535,12.374386482584745,0.006076792065999149,12.14578151,12.78337799
HPA014355_SBA4_rep1,1,0.004166666666666667,12.49705208,12.50017064740586,0.004313673591335192,12.31043895,12.67526407
HPA035661_SBA4_rep1,0,0.0,12.3213075,12.321380934208332,0.006533877414464579,12.1675425,12.62379777
HPA064870_SBA4_rep1,1,0.004166666666666667,12.41032165,12.411307259037656,0.006613048658809378,12.15442068,12.7524443
HPA071007_SBA4_rep1,8,0.03333333333333333,12.492472645,12.497059068318968,0.014393282433385177,12.23181116,12.91177282
HPA039835_SBA4_rep1,14,0.058333333333333334,12.568727315,12.581768519911504,0.019060688408139636,12.29786833,13.49907909
HPA079570_SBA4_rep1,4,0.016666666666666666,12.327774445,12.332485191567796,0.00651722064201542,12.05105142,12.74733577
HPA070283_SBA4_rep1,0,0.0,12.226065205000001,12.233376255958335,0.006572288684655003,12.05113378,12.50220077
HPA071175_SBA4_rep1,0,0.0,12.18377244,12.184740073333334,0.008454623694674647,11.94199709,12.37434508
HPA004754_SBA4_rep1,0,0.0,12.40181535,12.400745488083334,0.010927002650232468,12.07144729,12.69888984
HPA005997_SBA4_rep1,1,0.004166666666666667,12.40061496,12.409758495062762,0.011449729171673572,12.08879849,12.69532184
HPA019259_SBA4_rep1,0,0.0,12.118781295,12.117775424333335,0.006759716009996414,11.91871324,12.35474942
HPA036655_SBA4_rep1,0,0.0,12.330592525,12.338011816541666,0.008813782899842361,12.09318512,12.69521507
HPA002740_SBA4_rep1,33,0.1375,12.5612233,12.576070171449274,0.012377057184059993,12.26695857,13.33742082
HPA024468_SBA4_rep1,104,0.43333333333333335,12.601968305,12.653501411764708,0.071752334498548,12.28869692,14.24746908
HPA032001_SBA4_rep1,1,0.004166666666666667,12.38282313,12.383843065230126,0.005131125434232021,12.14500869,12.63349371
