[IterativeImputer] Change: 0.15464658115656071, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 69/200, elapsed time 331.38
[IterativeImputer] Change: 0.15855572117158268, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 70/200, elapsed time 336.28
[IterativeImputer] Change: 0.1783053228614513, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 71/200, elapsed time 340.97
[IterativeImputer] Change: 0.187126155289441, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 72/200, elapsed time 345.71
[IterativeImputer] Change: 0.19831729217053073, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 73/200, elapsed time 350.47
[IterativeImputer] Change: 0.19782556776337046, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 74/200, elapsed time 355.25
[IterativeImputer] Change: 0.126943255180068, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 75/200, elapsed time 359.97
[IterativeImputer] Change: 0.12230442554615273, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 76/200, elapsed time 364.71
[IterativeImputer] Change: 0.14688805770605917, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 77/200, elapsed time 369.51
[IterativeImputer] Change: 0.17012850667126678, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 78/200, elapsed time 374.29
[IterativeImputer] Change: 0.14200696693801618, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 79/200, elapsed time 378.91
[IterativeImputer] Change: 0.14985479526160006, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 80/200, elapsed time 383.79
[IterativeImputer] Change: 0.17824428945064774, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 81/200, elapsed time 388.53
[IterativeImputer] Change: 0.1869168747148091, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 82/200, elapsed time 393.31
[IterativeImputer] Change: 0.16570657740597206, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 83/200, elapsed time 398.21
[IterativeImputer] Change: 0.18552165837440526, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 84/200, elapsed time 402.99
[IterativeImputer] Change: 0.1349405504222876, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 85/200, elapsed time 407.75
[IterativeImputer] Change: 0.15980762904945145, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 86/200, elapsed time 412.62
[IterativeImputer] Change: 0.1400685979028573, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 87/200, elapsed time 417.43
[IterativeImputer] Change: 0.15517918223810945, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 88/200, elapsed time 422.34
[IterativeImputer] Change: 0.1513596725227142, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 89/200, elapsed time 427.15
[IterativeImputer] Change: 0.1665939429367338, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 90/200, elapsed time 431.92
[IterativeImputer] Change: 0.18612927537128243, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 91/200, elapsed time 436.72
[IterativeImputer] Change: 0.1856210015879043, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 92/200, elapsed time 441.50
[IterativeImputer] Change: 0.1738566406857629, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 93/200, elapsed time 446.31
[IterativeImputer] Change: 0.1688649433373559, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 94/200, elapsed time 451.11
[IterativeImputer] Change: 0.14375190193840126, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 95/200, elapsed time 455.86
[IterativeImputer] Change: 0.18473921995208187, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 96/200, elapsed time 460.69
[IterativeImputer] Change: 0.16977390658994018, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 97/200, elapsed time 465.54
